Enlem,Boylam,Cluster
37.6766,26.0256,2
37.9171,26.9438,1
40.805,31.7266,0
38.614,30.358,2
39.4678,26.0755,2
37.8956,27.0975,2
37.5661,30.4965,2
37.8783,26.933,1
40.667,41.1558,0
37.3726,35.0226,2
35.3528,25.4026,1
41.6186,42.4356,1
39.8108,41.8411,0
37.7795,27.103,1
40.6921,27.3538,1
36.5381,27.2221,2
36.516,27.1626,1
36.2191,36.0615,1
38.6486,43.1198,0
39.794,30.1585,2
37.2608,36.9648,1
40.5353,33.0223,2
38.8776,43.4815,0
37.3003,36.4628,1
39.4426,38.2313,0
38.8936,35.1971,0
38.4815,29.174,2
36.4528,27.1363,1
38.5848,31.6383,1
36.4895,28.7731,2
36.1598,27.7775,2
36.6416,27.6658,1
36.5996,27.2625,1
40.8571,31.5755,1
35.7055,31.426,1
39.4355,28.2585,1
38.9505,26.0395,1
36.3516,28.582,2
40.4593,34.209,0
36.5756,27.2406,1
40.6781,32.9021,0
39.8811,28.7805,1
40.8391,33.7576,0
36.5888,27.2291,1
37.8391,29.5818,1
39.016,40.4546,0
38.3741,38.1765,1
38.9748,32.93,2
35.304,38.6961,1
37.9388,27.1226,1
37.1295,28.645,2
39.6611,28.423,1
37.8326,26.063,2
37.8041,26.9496,0
38.1636,39.1751,1
36.6848,27.1655,2
37.8843,26.9728,1
39.465,41.2083,1
38.44,39.2123,0
40.5966,36.7481,0
39.6985,39.5318,0
39.3266,42.1131,2
36.6098,27.2118,1
38.4096,39.1631,2
39.9696,35.3248,1
41.0573,43.8206,2
37.8373,32.1011,1
36.509,27.1976,1
39.3661,33.4426,0
38.5786,31.6183,0
36.5086,27.1426,1
36.9386,27.6431,1
38.8036,31.3366,1
39.7838,43.3948,0
36.0351,28.471,2
35.8466,27.5916,2
37.828,26.9873,1
38.8943,34.861,2
36.62,27.0865,1
36.8988,27.4771,2
38.651,39.8168,0
37.8311,27.171,2
38.807,27.1018,2
37.8018,29.7653,2
36.9296,27.9033,1
38.9961,26.7725,0
37.6663,26.0195,1
