Enlem,Boylam,Derinlik,Büyüklük,Gün,Ay,Yıl,Saat,Dakika,Saniye
37.5631,29.2218,7,1.4,16,12,2021,11,45,52
36.4895,28.7731,7.03,1.7,16,12,2021,11,35,46
41.1395,43.817,7.14,1.6,16,12,2021,9,3,48
41.1981,43.9635,5.27,2.2,16,12,2021,8,56,22
39.5596,41.1185,7,1.5,16,12,2021,8,25,10
37.7863,29.6853,7,1.2,16,12,2021,7,5,17
36.4896,27.2715,21.4,1.6,16,12,2021,6,45,29
38.9256,31.3951,7,1.7,16,12,2021,6,33,27
36.734,33.8178,6.96,2.2,16,12,2021,5,49,14
41.0948,43.8056,7,1.2,16,12,2021,5,0,17
37.298,31.2948,7,2.3,16,12,2021,4,34,45
41.177,43.7803,6.74,1.8,16,12,2021,4,30,16
38.903,43.5131,7.04,1.7,16,12,2021,4,22,53
36.9736,28.528,7,1.3,16,12,2021,4,15,34
36.9748,28.5371,7.01,2.5,16,12,2021,4,13,36
41.06,43.7485,7,1.3,16,12,2021,3,59,8
41.0633,43.8885,7.26,1.9,16,12,2021,3,6,29
39.0263,27.5345,6.07,1.5,16,12,2021,2,33,10
41.1825,43.769,7,1.6,16,12,2021,2,27,35
38.9955,26.1583,7,2,16,12,2021,2,12,17
36.216,27.0875,5.2,1.8,16,12,2021,2,4,0
43.161,38.372,34.9,3.1,16,12,2021,1,54,21
41.1906,43.8375,6.98,1.7,16,12,2021,1,28,15
41.1836,43.7946,6.81,2.7,16,12,2021,0,0,7
37.8735,38.277,5.39,1.6,15,12,2021,23,33,5
38.9586,42.031,6.98,2.5,15,12,2021,23,29,15
41.2026,43.7216,7,1.3,15,12,2021,23,13,54
38.9781,42.0243,7.01,3.4,15,12,2021,22,57,7
41.0761,43.8125,7,1.7,15,12,2021,22,10,1
36.085,27.7945,6.39,1.8,15,12,2021,21,52,45
37.921,26.9648,7,1.6,15,12,2021,21,20,26
41.1485,44.0145,15.73,2.1,15,12,2021,20,45,37
36.938,27.653,7,2.5,15,12,2021,19,55,42
39.572,41.2998,7,2.3,15,12,2021,18,18,9
41.1496,43.6846,7.01,1.7,15,12,2021,17,54,12
40.421,35.2461,6.78,1.2,15,12,2021,15,30,4
38.8363,41.8268,7.05,1.7,15,12,2021,15,28,45
38.7445,41.8461,6.97,1.7,15,12,2021,15,28,44
38.7676,43.2891,7,1.4,15,12,2021,15,4,44
37.124,28.51,7,1.5,15,12,2021,14,42,23
39.0685,28.5895,10.24,1.5,15,12,2021,13,54,15
37.4475,32.707,7.2,1.7,15,12,2021,12,37,2
38.602,30.355,20.4,1.7,15,12,2021,11,58,37
36.985,28.511,16.8,1.8,15,12,2021,11,57,28
39.152,37.2418,6.94,1.9,15,12,2021,10,35,16
38.3046,38.3053,7.02,1.2,15,12,2021,9,8,44
38.468,39.3423,7,1.3,15,12,2021,8,47,7
38.7358,43.485,7.01,1.7,15,12,2021,6,19,12
36.1336,27.6511,40.86,2.3,15,12,2021,5,56,53
40.225,31.8651,6.84,1.8,15,12,2021,5,23,57
38.5951,39.6206,6.96,1.9,15,12,2021,1,27,12
37.7255,26.139,6.8,2,15,12,2021,0,53,40
40.55,27.3343,7.05,1.9,15,12,2021,0,28,35
36.331,27.0891,6.65,1.8,14,12,2021,18,56,2
37.6413,27.4398,7,1.4,14,12,2021,18,45,14
37.7673,27.4095,14.16,1.5,14,12,2021,18,44,36
40.4461,44.9816,1.77,3.1,14,12,2021,18,31,41
38.7085,43.239,7.01,2.4,14,12,2021,18,17,39
37.7121,26.1805,7,1.5,14,12,2021,17,56,46
39.0111,33.4716,7.06,1.4,14,12,2021,17,51,23
37.9203,29.2373,5.18,1.1,14,12,2021,17,41,44
38.4758,29.1501,7,0.9,14,12,2021,17,28,30
38.4815,29.174,7,0.9,14,12,2021,17,27,23
40.8076,31.6035,13.8,1.2,14,12,2021,17,26,2
39.0855,42.1121,7,1.4,14,12,2021,16,49,3
37.6326,25.9153,8.89,1.9,14,12,2021,16,34,33
40.842,31.6363,6.94,1,14,12,2021,16,18,52
38.6151,39.6931,7.13,3,14,12,2021,16,8,14
38.8021,35.1968,3.45,1.1,14,12,2021,15,51,12
41.4545,43.9333,6.42,1.6,14,12,2021,15,46,19
38.3296,39.0563,7,1.4,14,12,2021,14,53,44
37.6491,26.031,6.96,1.8,14,12,2021,14,53,32
37.7793,29.7383,7,1.3,14,12,2021,14,48,12
39.8695,31.9026,7.08,1.8,14,12,2021,14,43,31
37.8871,27.0135,7,1.5,14,12,2021,14,37,15
36.2508,26.9673,7.5,2.5,14,12,2021,13,10,6
38.8685,43.6221,7.05,1.4,14,12,2021,13,6,53
39.756,30.1646,7,1,14,12,2021,12,59,31
38.3903,44.5105,5.57,2.2,14,12,2021,12,56,57
38.459,39.2971,7,1.5,14,12,2021,12,37,52
38.042,32.8455,7,1.2,14,12,2021,12,34,45
40.8355,41.48,7,1.1,14,12,2021,12,24,28
37.2471,32.1545,12.62,1.8,14,12,2021,12,17,39
39.7945,29.0911,7,1.1,14,12,2021,12,7,58
38.7513,43.7648,7.18,1.3,14,12,2021,12,1,32
